Date,ITC.NS,HINDUNILVR.NS,ICICIBANK.NS,HDFCBANK.NS,BHARTIARTL.NS,RELIANCE.NS,TCS.NS,Other
2025-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-30,0.15449405757872578,0.13490493279572358,0.12881840206767362,0.11756242681958734,0.05890457760345719,0.08905269752348008,0.06609770710557368,0.16151885081081424
2025-07-01,0.15391711906211106,0.13489112956760188,0.12752577148610364,0.11812662416763335,0.059162576890298,0.0906576523896867,0.06544865903424793,0.16164578959741754
2025-07-02,0.15361629093429371,0.13601229194983042,0.12756395283973374,0.11697231838503798,0.05976292214746709,0.09038027047404482,0.06553830518231904,0.16121944597080823
2025-07-03,0.15384948982852753,0.13645854615853445,0.12746411892504525,0.11710133977269707,0.059384007171923575,0.09037034282565616,0.06514327989835499,0.16122362096999399
