,strategy,sharpe,sharpe_ci_lower,sharpe_ci_upper,ci_excludes_zero,psr_vs_zero,deflation_threshold,dsr,mean_exposure,cash_like,is_benchmark
0,MaxSharpe,0.728888506096597,-0.2649606798982655,1.6990604538636216,False,0.9224526020054948,1.35430410988456,0.1112456053099331,0.4461,False,False
1,BuyHold,0.41518136107554965,-0.5821998519563616,1.4131294963179852,False,0.7944060723319777,1.35430410988456,0.03152147800025098,0.984,False,True
2,EqualWeight,0.4074113533764059,-0.6171829242064346,1.449364449200446,False,0.7900776321395588,1.35430410988456,0.030404257447676154,0.961,False,False
3,HRP,0.3763557800796355,-0.6861929008531816,1.4565970568476998,False,0.7720143149595641,1.35430410988456,0.02636352583097879,0.9591,False,False
4,InverseVol,0.3725702022365527,-0.6537164985105444,1.4240738688817554,False,0.7696981559068108,1.35430410988456,0.02593170995482178,0.961,False,False
5,RiskParity,0.37030787031945295,-0.6601579647984507,1.4220365832087078,False,0.7683307038595406,1.35430410988456,0.025664821911663208,0.961,False,False
6,MA_20_50,0.33503647190097363,-0.6335967894806583,1.4059027850303025,False,0.7466880843095381,1.35430410988456,0.021672209868604356,0.4072,False,False
7,Selected_OOS,0.3077823664310457,-0.7018135773437592,1.3278962426738674,False,0.729668154369557,1.35430410988456,0.018750134428755654,0.3139,False,False
8,MinVariance,0.3029434168571845,-0.7457877437691812,1.3939355909836468,False,0.7259658600789444,1.35430410988456,0.01855407108581573,0.7977000000000001,False,False
9,MomentumTilt,0.2871301724984484,-0.7939144730792256,1.363677108309327,False,0.7140071193987344,1.35430410988456,0.017846354051589856,0.5978,False,False
10,PPO_s1,0.2828104015123783,-0.650509245813556,1.2667949530849616,False,0.7122573426280733,1.35430410988456,0.01693319037103362,0.992,False,False
11,PPO_s2,0.2826930874645598,-0.6450360467885873,1.2627524244621617,False,0.7122550820156309,1.35430410988456,0.016887539067889343,0.992,False,False
12,PPO_ensemble,0.2771936336179291,-0.6511635141025952,1.2492483635632572,False,0.7085337909097458,1.35430410988456,0.01643363996467347,0.992,False,False
13,HRP+Regime,0.26910453923564925,-0.8515491425865513,1.3623286271838746,False,0.7026164603413025,1.35430410988456,0.015971586591323722,0.9591,False,False
14,PPO_s0,0.2641279852754195,-0.6663816053486141,1.2188261021238667,False,0.6996829764016685,1.35430410988456,0.015360167158192339,0.992,False,False
15,EqualWeight+Regime,0.24927941109405688,-0.8119857305907012,1.286832000306115,False,0.6887872011949017,1.35430410988456,0.01452464079132987,0.961,False,False
16,RiskParity+Regime,0.22815945250812594,-0.8566509754899906,1.2719650397876958,False,0.6740311156632502,1.35430410988456,0.012994001798473934,0.961,False,False
17,Breakout_20,0.05405061969267891,-0.9655347023919728,1.1179548891850724,False,0.5427049328660297,1.35430410988456,0.00493937184278249,0.3604,False,False
18,MomentumPullback,-0.544911818292038,-1.543374632683437,0.49484096201712974,False,0.13885359754183169,1.35430410988456,7.737890801705233e-05,0.1464,False,False
19,VIX_Regime_Mom,-0.705422887833991,-1.8781429292914618,0.4166224549775494,False,0.0817572388544478,1.35430410988456,2.3672172963392394e-05,0.2732,False,False
20,Sentiment_Momentum,-0.911330520534962,-1.7062843223993225,-0.04508363323772383,True,0.03184651169562242,1.35430410988456,2.013517478596456e-06,0.2903,False,False
21,Random,-1.9956559922445813,-3.3272555287392884,-0.797176913697806,True,3.369541700293045e-05,1.35430410988456,1.1169781549336865e-11,0.4915,False,False
22,RSI_35_60,,,,False,0.9787635924834555,1.35430410988456,0.2576342796446959,0.0,True,False
