,strategy,sharpe,sharpe_ci_lower,sharpe_ci_upper,ci_excludes_zero,psr_vs_zero,deflation_threshold,dsr,mean_exposure,cash_like,is_benchmark
0,MaxSharpe,0.702182071387265,-0.29032217136489247,1.6779926308672544,False,0.9144630858681437,1.3351535052102705,0.10862950746855166,0.4464,False,False
1,BuyHold,0.3905367846596115,-0.60071238575981,1.3969227057867453,False,0.7802923950738987,1.3351535052102705,0.03073195267094939,0.984,False,True
2,EqualWeight,0.3770989070063454,-0.6493088402627488,1.4176819769846731,False,0.7723706019966361,1.3351535052102705,0.028913911907531484,0.961,False,False
3,HRP,0.3620509069231094,-0.6844704808103717,1.4475524309882783,False,0.7633776053296006,1.3351535052102705,0.026947434021654067,0.961,False,False
4,InverseVol,0.3586357677729013,-0.6605846346856618,1.4093889157315984,False,0.7612623723773329,1.3351535052102705,0.026541741730369987,0.961,False,False
5,RiskParity,0.35357926166787784,-0.664882501685198,1.4160235166432396,False,0.7581497146719586,1.3351535052102705,0.02593062612469862,0.961,False,False
6,MA_20_50,0.32645405457976223,-0.6504890785289479,1.3913048588447168,False,0.7412413833646767,1.3351535052102705,0.022766803455756397,0.4072,False,False
7,MinVariance,0.28682163532977517,-0.7374536381983284,1.3733220215930504,False,0.7152051941572501,1.3351535052102705,0.018834642370173352,0.8461000000000001,False,False
8,EqualWeight+Regime,0.28308769764952146,-0.7539847557178836,1.2866933136844148,False,0.7119286039482833,1.3351535052102705,0.018874579232997533,0.961,False,False
9,Selected_OOS,0.27902568330543365,-0.7260367671606223,1.2796146279314242,False,0.7102946087434978,1.3351535052102705,0.01795917423762889,0.3139,False,False
10,MomentumTilt,0.2759148965622867,-0.8294364929080821,1.3478298572598923,False,0.7064798462306612,1.3351535052102705,0.018531082351490348,0.6167,False,False
11,RiskParity+Regime,0.25733853645284555,-0.8065432516570634,1.2689860021343284,False,0.6944970172753981,1.3351535052102705,0.016571919853005542,0.961,False,False
12,PPO_s2,0.24611951159124643,-0.6982892184628497,1.224888969683698,False,0.6871213801777256,1.3351535052102705,0.0154633107437157,0.992,False,False
13,HRP+Regime,0.24432241077412378,-0.8373392475568867,1.2843138102706304,False,0.6855075089132983,1.3351535052102705,0.015496752251895334,0.961,False,False
14,NIFTY50_Index,0.20995299502553483,-0.6792761708680585,1.180531528303151,False,0.6610498058652248,1.3351535052102705,0.013011224254850705,,False,False
15,PPO_s1,0.2049040610176784,-0.7188860079119711,1.186115949369426,False,0.6575887950287673,1.3351535052102705,0.012581401119294441,0.992,False,False
16,PPO_ensemble,0.18846830230500203,-0.7456490947534986,1.1762842214154081,False,0.6456028562611746,1.3351535052102705,0.011533757807566436,0.992,False,False
17,PPO_s0,0.11239917222866933,-0.8319137811584398,1.0829423351657825,False,0.5881586127762578,1.3351535052102705,0.007677698962182086,0.992,False,False
18,Breakout_20,0.006710165214266479,-0.9949872278923878,1.0502222538290038,False,0.5053087809807314,1.3351535052102705,0.004212374112178073,0.3604,False,False
19,MomentumPullback,-0.5156351315797724,-1.5268852518287923,0.5289920365363125,False,0.1527028055155487,1.3351535052102705,0.00011719063491191594,0.1464,False,False
20,VIX_Regime_Mom,-0.765373803994677,-1.9336605004700507,0.3421072554013261,False,0.06534085115941456,1.3351535052102705,1.6768989716259627e-05,0.2732,False,False
21,Sentiment_Momentum,-0.9714796170323093,-1.7749467021788212,-0.10664431585547819,True,0.023605560225035866,1.3351535052102705,1.228509732045271e-06,0.2903,False,False
22,Random,-2.0198654879237052,-3.337263053567409,-0.8305309227401237,True,2.6206658801771023e-05,1.3351535052102705,9.204224630626768e-12,0.4915,False,False
23,RSI_35_60,,,,False,0.13079515213055892,1.3351535052102705,8.035334635773151e-05,0.0,True,False
