,detector,start,end,regime,days
492,JumpModel,2025-08-18,2025-08-26,Calm,6
493,JumpModel,2025-08-26,2025-09-10,Elevated,10
494,JumpModel,2025-09-10,2025-09-30,Calm,14
495,JumpModel,2025-09-30,2025-10-07,Elevated,4
496,JumpModel,2025-10-07,2026-01-01,Calm,59
497,JumpModel,2026-01-01,2026-01-02,Normal,1
498,JumpModel,2026-01-02,2026-01-20,Calm,12
499,JumpModel,2026-01-20,2026-01-28,Elevated,5
500,JumpModel,2026-01-28,2026-01-29,Calm,1
501,JumpModel,2026-01-29,2026-02-04,Elevated,4
502,JumpModel,2026-02-04,2026-02-05,Normal,1
503,JumpModel,2026-02-05,2026-03-11,Elevated,23
504,JumpModel,2026-03-11,2026-04-08,Crisis,17
505,JumpModel,2026-04-08,2026-04-09,Elevated,1
506,JumpModel,2026-04-09,2026-04-10,Crisis,1
507,JumpModel,2026-04-10,2026-05-01,Elevated,14
508,JumpModel,2026-05-01,2026-05-05,Normal,2
509,JumpModel,2026-05-05,2026-05-06,Elevated,1
510,JumpModel,2026-05-06,2026-05-07,Normal,1
511,JumpModel,2026-05-07,2026-05-11,Elevated,3
