window,min,mean,max,seed_std
1,0.0788031551187806,0.08553051255339927,0.0963135874840923,0.009433474636156696
2,0.0036355038052962,0.005575985457626334,0.0075077088009456,0.0019361173551893979
3,0.1453874665013383,0.1460362652972508,0.1466124814404645,0.0006157244362336071
4,0.0933739778208457,0.09785102480387746,0.1049289414724017,0.006201023188787505
5,0.1860012868484979,0.19230361571943166,0.2037234520272626,0.009907595390955294
6,-0.0787280570930532,-0.07729953319649709,-0.0752553845841094,0.0018163449374087913
7,0.0170717793509758,0.024263395221635436,0.0314086644392503,0.007168554911401828
8,-0.0890056588375307,-0.08383068691050148,-0.0794645147632031,0.004821719130615002
