,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,NIFTY50_Index,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,-0.023670089639926672,-1.1332978190641607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9802202470463817,-0.9898191973008341,-0.9911427118101224,-0.9481816303213764,-1.0301443082984085,0.0,-0.5417290779948236,0.0,0.0,-0.023670089639926672,-0.6123857433281366,0.0
2022-03-22,0.0,-0.08462155867559051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015400697155887322,0.0,-0.006271910444921591,-0.06409477436010169,0.0,-0.25389791508777515,0.0,0.0,0.0,0.0,0.0
2022-03-23,-0.05955095577727665,-0.4754747364597689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40339354552277884,-0.3599701912313735,-0.2923824473040848,-0.3584488685345555,-0.4530137167182313,0.0,-0.40068331001962276,0.0,0.0,-0.05955095577727665,-0.2906324246658709,-0.004951817355036692
2022-03-24,0.0,-0.5520522351742607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5356472524616462,-0.5170898011113367,-0.5002652301716148,-0.4979419758253223,-0.5771030618327511,0.0,-0.22618334248590832,0.0,0.0,0.0,-0.3073384402123236,0.0
2022-03-25,0.0,-0.921801106002007,0.0,0.0,0.0,0.0,0.0,-0.0940021631318233,0.0,0.0,0.0,0.0,-0.9384655366578842,-0.8909965839139944,-0.9411333281017842,-0.8313640082096674,-0.9246362109337158,0.0,-0.19494702102499373,0.0,0.0,0.0,-0.6144563601669262,-0.0050745340372859715
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5399786318616151,-0.11648574653391197,-0.24087368581918733,-0.034257570580109586,-0.09886802352300217,0.0,-0.024181561453462397,0.0,0.0,0.0,0.0,0.0
2022-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030676979498489576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14390816116828242,0.0,0.0,0.0,0.0,-0.02990547677106381
2022-03-30,-0.00969951514638856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00969951514638856,0.0,0.0
2022-03-31,-0.005643834940494141,0.0,-0.12353452615083693,-0.0864592491628402,-0.12381186753268603,-0.08679687050708873,-0.12382979788160275,-0.05306442837942349,-0.12455474924845111,-0.12361132454723478,0.0,-0.1244880233400747,-0.1914477162001882,0.0,0.0,0.0,0.0,0.0,-0.018969869305340836,-0.12360056396466534,-0.08638375024681011,-0.005643834940494141,-0.07638587702889499,-0.053556128539655745
