window,min,mean,max,seed_std
1,0.049628647806151394,0.07833338343610596,0.09734188541606148,0.0252913220502896
2,0.002477276606462242,0.0033063287921633044,0.004316270119288257,0.0009327459172614189
3,0.13578551821197915,0.13734988962913053,0.13866302076975723,0.0014551104768765815
4,0.09221776749757482,0.09366202874720757,0.09592624549343975,0.001985559750739408
5,0.1805430646543651,0.1850948183306683,0.19259023191877755,0.006540826402792188
6,-0.08502179532147502,-0.08152811200623518,-0.07740239522352221,0.0038488198439489757
7,0.008261660711595509,0.017593850006876115,0.02584734405772715,0.008842327310180796
8,-0.09461368456439956,-0.08597784245811235,-0.08151173084658747,0.007480326671017492
