strategy,1,2,3,4,5,6,7,8
MaxSharpe,2.2660394282478125,13.396391666300534,22.034713971763665,13.61536239755521,21.519892409893338,-3.0862785858996378,4.934076003912713,-2.268625716394135
MomentumTilt,23.404689071902517,0.6262008073510295,22.43291638698266,12.994814942611521,19.020579675202743,-15.154082159939264,1.6058293677652546,-17.845429788707655
BuyHold,9.25245138754407,0.41199566651035635,15.319438637951134,10.82404885045678,19.589678580688496,-6.3214987785348615,5.020299979870058,-8.511848959697875
EqualWeight,8.704110084470473,2.58511220260651,13.974418124553555,11.678745663676349,19.183392654375787,-6.452041557671007,3.2591834447916135,-8.155483172935652
HRP,9.033988927218296,3.71768751966175,14.696500897427867,11.1114627339167,21.775885641579972,-7.954594393267689,3.048560700597336,-11.18467659755199
RiskParity,8.388007777131001,2.923569723037023,14.298239002681612,11.032045810828862,21.156318162731292,-7.947786577848093,3.1169274895352483,-9.40521206132896
InverseVol,8.010635483979623,2.9605959263756088,13.990725040111428,11.557230549186137,20.14620664152369,-6.921361398127235,2.7447158088837798,-9.061505061154095
MinVariance,9.206694827081495,3.5542689982843045,15.207822560560015,8.936918341657062,23.88401127387889,-9.33515084671055,2.9221751266375495,-12.840290266744503
PPO_s2,8.147479505732491,0.7507708800945645,14.538746650133838,9.337397782084578,20.37234520272626,-7.7915157912328725,2.430974187468027,-8.302188713077063
PPO_s1,9.631358748409236,0.5584743766637201,14.610884794994972,9.525015511838507,18.718610828253457,-7.87280570930532,3.140866443925039,-8.900565883753075
PPO_ensemble,8.553051255339916,0.5575985457626276,14.603626529725089,9.785102480387774,19.230361571943156,-7.729953319649718,2.426339522163534,-8.383068691050156
PPO_s0,7.880315511878067,0.3635503805296203,14.661248144046457,10.492894147240172,18.600128684849793,-7.52553845841094,1.7071779350975813,-7.946451476320315
HRP+Regime,7.459583226592503,1.8810086227787348,10.677490626826014,7.946798600981508,19.152178593026157,-4.271690851943044,3.36420173516796,-10.210636746322665
EqualWeight+Regime,6.833595183192398,1.070308509713347,10.712153987544614,7.818507734517888,16.661818536520244,-3.1270695916128077,2.834000819122906,-8.123373870063666
RiskParity+Regime,6.766996500797751,1.3638842277201135,10.915162914868915,7.294760588270299,17.98771825219678,-4.20719660894383,3.131770397539957,-9.051002899524441
MA_20_50,2.8427000367297506,-1.987947156141967,9.0513004260939,6.800921516721314,12.663321421636532,-3.431759811398838,3.6850015536539438,3.5285847452469543
Selected_OOS,4.573490720474571,1.9708122772353898,10.363588858032902,3.8816023727000992,9.193981055495426,-2.2522942735447193,2.5519186082576306,1.2311556834183612
Breakout_20,4.573490720474571,1.9708122772353898,10.363588858032902,3.8816023727000992,9.193981055495426,-2.2522942735447193,-2.3231930870468154,1.112064667754642
RSI_35_60,3.147271311994837,3.147271311994837,3.147271311994837,3.147271311994837,3.147271311994837,3.147271311994837,3.147271311994837,3.147271311994837
MomentumPullback,-0.2180817436776672,0.16461067985171773,3.1660122708889293,5.8707110152179,6.471948005348871,-0.6364978422367273,2.5519186082576306,1.2311556834183612
VIX_Regime_Mom,3.248169611278784,-3.597236464559217,6.389314238876165,0.42523009524313427,8.889637646718839,-0.7673052476365516,-1.9178483614720743,1.0184801113606312
Sentiment_Momentum,-0.7314099808529706,-1.209192029400874,6.661046866956033,3.1233877720292735,3.254438731767695,-1.281791861383219,-3.591761604005117,-0.4631407422050815
Random,-1.9415401229365692,-3.4116211194883617,0.9367320454076067,1.4622116074915814,5.173179765282221,-9.950570752439603,-2.952374292959137,-17.169772690618245
