,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,NIFTY50_Index,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2022-04-01,1020440.877069231,1023218.0861841002,1012524.8115506609,1010085.8284140592,1011217.70071423,1009098.6362910699,1012167.73881589,1008136.9379013971,1007195.1573953095,1010639.0091386583,1002752.6816532679,1011769.4456981232,1040947.5872585927,1029964.4440646254,1023101.8928247333,1033386.9763952086,1033404.4629739332,1002752.6816532679,1009471.5576385905,1011872.9058809577,1009580.7920631755,1020440.877069231,1025077.7430889859,1007519.5247121764
2022-04-04,1021707.2206939266,1041685.5377006802,1031086.8525894039,1024082.8807830242,1029736.3508227537,1023023.09230458,1030898.7633471312,1008250.7449216767,1007672.425164595,1030026.4878357295,1003003.3008586408,1019665.90293944,1063506.8382129006,1046180.2399724957,1034991.292204628,1053151.3100106637,1050398.1177021945,1003003.3008586408,1012330.0015873868,1029764.4151209382,1023039.2010189431,1021707.2206939266,1043601.4467885986,1007626.4473976931
2022-04-05,1017925.7998475836,1038220.5983679594,1027672.8951115102,1021607.1553674475,1027971.7089942393,1021785.3016423873,1027746.0259631341,1007289.6114517469,1000362.8641566988,1029687.2119720915,1003253.982701579,1021801.5642073519,1057851.5791337604,1043489.0440818078,1033464.1508158459,1049786.1161205529,1047216.8653090241,1003253.982701579,1011026.5651537488,1027217.6632739465,1021188.1413648018,1017925.7998475836,1040142.1295858198,1006652.4630527296
2022-04-06,1013878.9206546211,1033955.1522344887,1023486.8969265621,1018504.8533279535,1022978.6921141683,1018103.285563958,1022638.8811104137,1006714.2747330344,997278.3294131528,1021976.2182452581,1003355.276663191,1025013.8878606582,1049029.964059789,1039493.086835001,1029533.9473905998,1046666.9392790431,1042278.3738353591,1003504.7271977369,1007004.3306940713,1022403.8359480203,1017640.6826085524,1013878.9206546211,1035731.3320813732,1005932.0628530424
2022-04-07,1007874.0292529203,1024671.8649955477,1014479.6958795426,1011785.0500622292,1013645.8624232465,1011149.7330228514,1013335.8617327985,1000939.253425018,987054.3068348634,1013066.3420893158,1002608.6788413748,1012266.0061168012,1039127.3927877272,1030533.9825120867,1019596.2365501543,1038283.768626592,1033721.9423595123,1003755.5343627742,1002317.3531449585,1013430.9399181893,1010946.8026137096,1007874.0292529203,1027456.8264079407,1001131.7640105151
2022-04-08,1015959.3173919637,1033094.0742061568,1022728.6236051074,1018021.842040349,1022253.3281674288,1017667.7330428181,1021581.5215108123,1007261.3470692142,988962.893956038,1022476.4546286585,1002880.83177272,1034760.3413696138,1047657.3395315063,1037342.8542604832,1025771.1335030202,1045640.3119068902,1040617.1173715382,1004006.4042123525,1002033.8017743147,1021810.8161269637,1017279.9734607075,1015959.3173919637,1035583.342711597,1007102.7945730686
2022-04-11,1012251.0392257437,1025501.7590839339,1015166.8735543194,1012433.5173827799,1012536.3429173775,1010426.4088883325,1013560.9058241975,1003041.9599123977,973777.2219412555,1012692.0458841642,999243.5877976165,1032047.7912326565,1041212.6775279278,1029911.424218242,1017250.8078178797,1038759.7388067716,1033723.7260300751,1004257.3367621402,996234.5499816948,1013824.5511223227,1011333.6190732436,1012251.0392257437,1030311.773378614,1005176.0517901062
2022-04-12,1005857.7332697718,1015433.7543915417,1005301.220400774,1005106.2275064981,1000895.3883168745,1001745.3330883963,1003597.6962679059,996310.2227158812,959599.5419807286,1001670.1231344021,997664.7694654403,1017768.3687827459,1032691.590137768,1020258.8171863116,1006372.8095076802,1029723.2617903061,1024680.3802609488,1004508.332027807,991715.6720241739,1003599.3725044911,1003733.1190177161,1005857.7332697718,1021703.6447997488,1000053.6532146008
2022-04-13,1009952.3378688248,1016872.8478640543,1006781.2659970232,1006260.5697208154,1003151.9229689306,1003506.7448895414,1004949.0689132081,995208.9617832534,962569.0208530496,1004119.8275995911,994893.9075008607,1025710.4145197949,1029472.1930777617,1021250.5685621098,1006813.9327738336,1030777.1019562824,1026160.6709562135,1004759.3900250276,990312.86985005,1005279.6752320932,1005051.085618093,1009952.3378688248,1023371.4851501572,999605.4359961803
2022-04-18,1008068.6507731623,997852.8353694805,988123.967038758,992296.4872365332,984121.9263963563,989248.8262110304,985343.3073600612,985314.5592608656,922984.9879649847,983520.1938562739,984747.8193372854,1020028.8629225978,1011681.690557966,1000845.938368035,982151.5839477414,1012553.6997070462,1007832.5314493172,1005010.5107694808,980945.4232349882,986217.939041584,990762.3173097931,1008068.6507731623,1016311.2785167557,993675.496246588
2022-04-19,1001414.3032198186,985910.2643627432,976104.2785126851,983318.1486978038,966011.0250030659,975693.4090880933,971774.9562863033,983796.4155537138,907250.6193114347,959393.4964407096,987910.063150053,1012857.0592975859,999016.2665786413,991250.3013298203,974495.6232817802,1001222.4999663355,998032.7807413444,1005261.6942768497,977452.1647625049,971930.7260668809,980114.9990333633,1001414.3032198186,1010512.125646726,989923.0470378372
2022-04-20,1001216.5988895342,994552.4043904403,984417.8227791687,989654.852158571,977420.4788447068,984325.5867711717,980935.2764189668,989926.6182894383,919464.0244200149,972708.7758651099,993114.3418041279,1020619.7593668398,1009496.1915709815,1000816.2956714053,987546.8796223628,1009854.7694418081,1005047.2379500448,1005512.9405628194,977101.3626474582,981776.2886884821,987516.3158056455,1001216.5988895342,1009725.6320954566,988675.2470288455
2022-04-21,1005200.1324535458,1007041.0250907227,996740.3333741097,998969.2690553468,989777.8238253152,993671.4493673966,993656.7129028084,995516.1815051974,929817.5855844547,985577.8035071646,992700.9246567392,1028412.1571764146,1024579.7588622018,1012315.1415906495,999198.0087979984,1021180.0432649251,1016567.3727090243,1005764.2496430814,980629.1027328558,994342.6272116912,996991.6847296646,1005200.1324535458,1009977.9940588707,992666.0408521448
2022-04-22,999514.1130859497,993734.2201984203,983400.038096105,989040.0224237667,976596.7356804702,983840.4304287254,980319.884893816,989954.8373259248,916386.6607454553,971900.4343016929,990114.2873126427,1024507.5945995142,1011581.4763111821,999367.658802071,985779.0952392643,1008700.1307976784,1003623.75036927,1006015.6215333291,973902.560133779,980942.5999740384,987039.4856159651,999514.1130859497,1010230.4190954192,987259.8651541545
2022-04-25,994281.9885548365,982726.1665172115,972599.3824561534,980993.4687589386,964598.4356169427,974879.8996643423,969100.2915528596,983026.7931600728,906734.0609687184,959424.0140892754,990122.6624962447,1007824.204952213,998739.3254856342,989456.7649449245,975586.7275803613,998942.3340776938,993841.2331767188,1006267.0562492613,963000.0595854964,969598.2484185225,978596.6165246051,994281.9885548365,1009861.9837374372,982089.0986944024
2022-04-26,1001064.5939481328,998163.2113219652,987818.3869164257,992451.4598867827,980323.9108021964,986744.87702147,984009.9722324602,992173.2908807687,923634.3404534905,973445.9807209908,994597.6971441506,1028748.425322559,1013281.091527594,1003019.3299341061,987825.2721254912,1013109.151605252,1008123.5660715748,1006518.5538065801,968957.7240314761,984623.4927723218,989911.0862028991,1001064.5939481328,1016484.0634410491,986650.2464809397
