,Calm,Normal,Elevated,Crisis
Calm,0.9812805060536838,0.009365025768815639,0.009354468177500507,0.0
Normal,0.031883759504980534,0.9515155226447303,0.016600717850289198,2.527143965455242e-163
Elevated,2.686823801852295e-85,0.032486815380213356,0.9590789424598757,0.008434242159910928
Crisis,0.0,0.030196379999045134,0.03207256706373158,0.9377310529372231
