strategy,Calm,Normal,Elevated,Crisis
Breakout_20,0.148673121579957,1.5116746022222483,-2.087003539876969,
BuyHold,1.1559893609388392,1.1826065993535575,-0.5061262861127069,-3.6120144326441705
EqualWeight,1.2146175787006592,1.0594918775691822,-0.5303814459911603,-3.4010798711835144
EqualWeight+Regime,0.9604070592932599,0.8212349989919246,-0.6445908251304671,-4.902328182769506
HRP,1.1177383119465707,1.0347502323485578,-0.4372955203396166,-3.930250496527561
HRP+Regime,0.8777061044358899,0.7716720631563988,-0.593040526436466,-5.200810633394351
InverseVol,1.1607385142594402,1.0609557378681573,-0.5187182159727096,-3.615241449427087
MA_20_50,0.9745941069446107,1.4640490121154015,-1.341610903337393,
MaxSharpe,0.9967648799167615,0.8116144462530875,0.7010988806862037,-2.959633582706343
MinVariance,1.0642883479751535,0.8789589217260256,-0.44878871752679506,-4.15512347846355
MomentumPullback,-0.13540219063858527,0.43725507065396746,-1.6856790942285065,
MomentumTilt,0.7159385532909631,0.744137252583422,-0.006059379325420004,-4.603391463409189
NIFTY50_Index,0.7937255960967325,0.9681011420932062,-0.5000875066372396,-4.164669014146328
PPO_ensemble,0.9261158699454182,0.7821275266043318,-0.555021988311257,-3.4558453631656434
PPO_s0,0.8615839942977418,0.6285674167941085,-0.5845038959100706,-3.3194470895358537
PPO_s1,0.9240545567077049,0.7945837978708787,-0.5269591425310141,-3.4490974127381424
PPO_s2,0.9851885022092145,0.9148576203150842,-0.5489999279744339,-3.5944872756853647
RSI_35_60,,,,
Random,-2.3400395955393796,-1.1973895209138263,-2.2311570904634004,-6.943111837720516
RiskParity,1.19166371634009,1.0576509051920049,-0.5609873174768456,-3.542005088643684
RiskParity+Regime,0.9377331052974025,0.8186157715767324,-0.6928252977868896,-4.935626014452818
Selected_OOS,0.41103891763934686,1.7518514320274077,-1.628110862611753,
Sentiment_Momentum,-0.2956237832375227,-0.5476772005641314,-2.0893760871365283,3.3840628128867776
VIX_Regime_Mom,-0.19188555293099938,-0.2078367365385508,-2.244199477571539,
