strategy,Calm,Normal,Elevated,Crisis
Breakout_20,0.14867228756818876,1.5116740124357813,-2.086999881307222,
BuyHold,1.1559900910090033,1.1826052945545096,-0.5061260651042739,-3.6120142597970326
EqualWeight,1.2146182843045445,1.0594907863887641,-0.5303803393341497,-3.4010797261263126
EqualWeight+Regime,0.9604081713026669,0.8212340067546129,-0.6445903042580293,-4.902328155794385
HRP,1.1177396921377165,1.0347485513172252,-0.43729420226608323,-3.930250359055257
HRP+Regime,0.8777077821848672,0.7716704781648539,-0.5930397658632711,-5.20081061155689
InverseVol,1.1607393828025607,1.06095461540536,-0.5187170987004797,-3.6152413144026823
MA_20_50,0.9745930034208519,1.4640501009903697,-1.3416103731874078,
MaxSharpe,0.9967295088136613,0.8106847383321252,0.7004860825817651,-2.9580807849073976
MinVariance,1.0642938211214856,0.877248745615536,-0.4494359248741018,-4.1550961459814575
MomentumPullback,-0.13539967355690086,0.4372551241276256,-1.6856797174680787,
MomentumTilt,0.7159360452587261,0.7441372558536427,-0.006058271779832389,-4.603391362259503
NIFTY50_Index,0.7937255960967325,0.9681011420932062,-0.5000875066372396,-4.164669014146328
PPO_ensemble,0.9255840405590516,0.7987171914414612,-0.5466543094827213,-3.4542619463608966
PPO_s0,0.8523312534626447,0.675435886902467,-0.5605371741527211,-3.3246873422568255
PPO_s1,0.9337325330447455,0.7907789105513464,-0.5241840755044045,-3.458703718677061
PPO_s2,0.9830130949256514,0.9219722505891832,-0.5508306583655037,-3.5745436245909405
RSI_35_60,,,,
Random,-2.340038580281654,-1.1973900194076048,-2.231157120109439,-6.94310927875762
RiskParity,1.191664811894017,1.0576497413096877,-0.5609861654799558,-3.5420049543163135
RiskParity+Regime,0.9377345501291174,0.8186146699725647,-0.6928247679020036,-4.935625990374602
Selected_OOS,0.4110380913265519,1.7518509382489746,-1.6281070988257929,
Sentiment_Momentum,-0.2956234465320267,-0.5476785052056607,-2.089370680169079,3.384062812853055
VIX_Regime_Mom,-0.191887367072716,-0.20783512597563822,-2.244196299698411,
